"make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","engine.type","num.of.cylinders","fuel.system","symboling","normalized.losses","compression.ratio","horsepower","peak.rpm","price"
"alfa-romero","gas","std","two","convertible","rwd","front","dohc","four","mpfi",3,115,9,111,5000,13495
"alfa-romero","gas","std","two","convertible","rwd","front","dohc","four","mpfi",3,115,9,111,5000,16500
"alfa-romero","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",1,115,9,154,5000,16500
"audi","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,164,10,102,5500,13950
"audi","gas","std","four","sedan","4wd","front","ohc","five","mpfi",2,164,8,115,5500,17450
"audi","gas","std","two","sedan","fwd","front","ohc","five","mpfi",2,115,8.5,110,5500,15250
"audi","gas","std","four","sedan","fwd","front","ohc","five","mpfi",1,158,8.5,110,5500,17710
"audi","gas","std","four","wagon","fwd","front","ohc","five","mpfi",1,115,8.5,110,5500,18920
"audi","gas","turbo","four","sedan","fwd","front","ohc","five","mpfi",1,158,8.3,140,5500,23875
"audi","gas","turbo","two","hatchback","4wd","front","ohc","five","mpfi",0,115,7,160,5500,10295
"bmw","gas","std","two","sedan","rwd","front","ohc","four","mpfi",2,192,8.8,101,5800,16430
"bmw","gas","std","four","sedan","rwd","front","ohc","four","mpfi",0,192,8.8,101,5800,16925
"bmw","gas","std","two","sedan","rwd","front","ohc","six","mpfi",0,188,9,121,4250,20970
"bmw","gas","std","four","sedan","rwd","front","ohc","six","mpfi",0,188,9,121,4250,21105
"bmw","gas","std","four","sedan","rwd","front","ohc","six","mpfi",1,115,9,121,4250,24565
"bmw","gas","std","four","sedan","rwd","front","ohc","six","mpfi",0,115,8,182,5400,30760
"bmw","gas","std","two","sedan","rwd","front","ohc","six","mpfi",0,115,8,182,5400,41315
"bmw","gas","std","four","sedan","rwd","front","ohc","six","mpfi",0,115,8,182,5400,36880
"chevrolet","gas","std","two","hatchback","fwd","front","l","three","2bbl",2,121,9.5,48,5100,5151
"chevrolet","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,98,9.6,70,5400,6295
"chevrolet","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,81,9.6,70,5400,6575
"dodge","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,118,9.41,68,5500,5572
"dodge","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,118,9.4,68,5500,6377
"dodge","gas","turbo","two","hatchback","fwd","front","ohc","four","mpfi",1,118,7.6,102,5500,7957
"dodge","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",1,148,9.4,68,5500,6229
"dodge","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,148,9.4,68,5500,6692
"dodge","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,148,9.4,68,5500,7609
"dodge","gas","turbo","NA","sedan","fwd","front","ohc","four","mpfi",1,148,7.6,102,5500,8558
"dodge","gas","std","four","wagon","fwd","front","ohc","four","2bbl",-1,110,8.5,88,5000,8921
"dodge","gas","turbo","two","hatchback","fwd","front","ohc","four","mfi",3,145,7,145,5000,12964
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",2,137,9.6,58,4800,6479
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",2,137,9.2,76,6000,6855
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",1,101,10.1,60,5500,5399
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",1,101,9.2,76,6000,6529
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",1,101,9.2,76,6000,7129
"honda","gas","std","four","sedan","fwd","front","ohc","four","1bbl",0,110,9.2,76,6000,7295
"honda","gas","std","four","wagon","fwd","front","ohc","four","1bbl",0,78,9.2,76,6000,7295
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",0,106,9,86,5800,7895
"honda","gas","std","two","hatchback","fwd","front","ohc","four","1bbl",0,106,9,86,5800,9095
"honda","gas","std","four","sedan","fwd","front","ohc","four","1bbl",0,85,9,86,5800,8845
"honda","gas","std","four","sedan","fwd","front","ohc","four","1bbl",0,85,9,86,5800,10295
"honda","gas","std","four","sedan","fwd","front","ohc","four","mpfi",0,85,9,101,5800,12945
"honda","gas","std","two","sedan","fwd","front","ohc","four","2bbl",1,107,9.1,100,5500,10345
"isuzu","gas","std","four","sedan","rwd","front","ohc","four","2bbl",0,115,8.5,78,4800,6785
"isuzu","gas","std","two","sedan","fwd","front","ohc","four","2bbl",1,115,9.6,70,5400,10295
"isuzu","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,115,9.6,70,5400,10295
"isuzu","gas","std","two","hatchback","rwd","front","ohc","four","spfi",2,115,9.2,90,5000,11048
"jaguar","gas","std","four","sedan","rwd","front","dohc","six","mpfi",0,145,8.1,176,4750,32250
"jaguar","gas","std","four","sedan","rwd","front","dohc","six","mpfi",0,115,8.1,176,4750,35550
"jaguar","gas","std","two","sedan","rwd","front","ohcv","twelve","mpfi",0,115,11.5,262,5000,36000
